% Model,Untitled_plug_l_0.09_cap_l_0.9_u_a_5e-9_run_t_5880.mph
% Version,COMSOL 4.4.0.248
% Date,"Mar 10 2015, 11:21"
% Dimension,1
% Nodes,23521
% Expressions,1
% Description,Table graph
% ,
92.5,1.6012697247257153
92.75,0.19748240665725272
93,2.013096922252288
93.25,0.12962221168974286
93.5,-0.12411834285958369
93.75,0.9292295946715106
94,-1.4471208048054214
94.25,2.575210749024557
94.5,-6.190719596987717
94.75,-0.618210333120081
95,-2.587968183776313
95.25,-1.1536597209782058
95.5,0.17578096350045944
95.75,-2.3086220630287557
96,0.1637099742224263
96.25,0.4620944886851453
96.5,0.05442061812143897
96.75,-1.077976633740045
97,2.076472887702988
97.25,-0.3470146487740458
97.5,0.07102891568801471
97.75,3.096971305010203
98,2.523168776270454
98.25,-0.26029903202239213
98.5,-2.665760367292405
98.75,1.5265581603483005
99,-1.7078103588880995
99.25,1.0866308053452933
99.5,0.2640304218374833
99.75,-3.065212125297534
100,0.33099574079313465
100.25,-0.6149355534589794
100.5,-0.40137353155886757
100.75,0.9990039565948468
101,-1.4782631744942272
101.25,2.140302459511066
101.5,2.356560438004986
101.75,1.7107120559083169
102,2.0222115322845777
102.25,-2.7772329261613433
102.5,-0.46012849217114143
102.75,0.14185780501047712
103,-0.30706574288648836
103.25,1.262055319277358
103.5,0.8457481409220333
103.75,1.583011722394908
104,-2.7563756747752204
104.25,0.4930557594879814
104.5,2.107268596614382
104.75,0.6976663066155729
105,0.5375242076470368
105.25,0.05948041348133722
105.5,1.7533089421044923
105.75,2.329218494039169
106,3.1243490395185627
106.25,-1.506392451033483
106.5,3.068978762325303
106.75,0.5446446372279908
107,-0.4767084006164509
107.25,2.2798647443195588
107.5,1.1490716714526563
107.75,-0.8986111187621484
108,1.4903285646131679
108.25,0.6123571123336191
108.5,-1.5106714016368485
108.75,1.5110023260061558
109,4.54472616107662
109.25,0.35787996815127804
109.5,-2.034602896121904
109.75,3.7757543827585156
110,-0.26932326538693624
110.25,-1.9758383162764441
110.5,-5.0905983093046965
110.75,2.746573921503288
111,-0.25022671646231603
111.25,0.2487882254922193
111.5,-1.6965305909010178
111.75,-1.783574503522567
112,4.351633097828177
112.25,-1.3074079768681177
112.5,0.39478712179369246
112.75,-0.8463178423716289
113,-4.332561395532684
113.25,-2.3084154468156557
113.5,0.5461331025041023
113.75,-2.8834925847262074
114,1.861188443287599
114.25,-0.6824184521689189
114.5,-1.481248395515823
114.75,0.6436232525108359
115,3.9689847387615567
115.25,3.4557339921772847
115.5,2.3633349082410926
115.75,1.8109367886450387
116,1.1531788849278688
116.25,-2.3252714223310393
116.5,-1.4537278533250704
116.75,2.0923064537805
117,2.327934668794709
117.25,-4.434053828289946
117.5,0.5708217716295132
117.75,-0.8774665896513546
118,0.42478024906716927
118.25,0.7721589960874684
118.5,0.4244237899853425
118.75,0.7909409343844822
119,-1.2107659264362003
119.25,-1.9145234944104794
119.5,-1.7429419223874123
119.75,-3.1815771689641665
120,2.2493454005588682
120.25,-0.17525559035155688
120.5,-1.6377056065235653
120.75,-2.5944579947463757
121,-0.6570668356913384
121.25,2.4329887771243373
121.5,-0.2936201686949342
121.75,2.437279085388364
122,3.721014911837857
122.25,-0.8489691047629976
122.5,0.6875207901947806
122.75,5.008301746954419
123,-4.128942075023372
123.25,-0.3067478491952766
123.5,-3.210065803462376
123.75,-4.247900018130024
124,1.1656352998285457
124.25,4.051282881064407
124.5,3.056332304342764
124.75,-2.570633085814339
125,1.0905387342644826
125.25,2.43688548428724
125.5,2.2141314439060005
125.75,0.06542334652754975
126,-1.3687030731857137
126.25,-1.3937711044695331
126.5,-2.18297804743443
126.75,0.3601492661991652
127,-0.2881995653361738
127.25,1.5831962607483943
127.5,-2.8380241159815744
127.75,-0.5323611963885722
128,0.22315598898542244
128.25,-0.7087598423462452
128.5,0.6029401901643702
128.75,-3.8677489418364197
129,1.156723728896664
129.25,1.965332400475001
129.5,-0.41134902852589983
129.75,0.26290366149363104
130,-0.5704264174007809
130.25,1.6455221253818935
130.5,-0.08409456160255112
130.75,-2.3674357910943202
131,-1.7119677448941926
131.25,5.056312734300093
131.5,-3.927152891870487
131.75,-0.409816912044345
132,0.9620694736422685
132.25,-3.7974456795025766
132.5,-3.3828679989215473
132.75,-0.334141626004641
133,2.153261159485612
133.25,0.5760415019127899
133.5,-1.3806541603401628
133.75,1.0649940159850195
134,-0.6624780507014177
134.25,0.4447481050130703
134.5,0.6296110166553801
134.75,-1.2515153948471134
135,2.4527051543387492
135.25,5.357202804295466
135.5,-0.30690444119030774
135.75,1.472371129331777
136,-4.307141257776737
136.25,2.883726576495354
136.5,3.7618597863387504
136.75,3.64940036371819
137,-0.2752436623719892
137.25,0.9856194622510794
137.5,-0.5025099277972721
137.75,-0.38021936962161157
138,-1.7879901445470103
138.25,-0.0385601768715668
138.5,-1.3589341488986413
138.75,4.031176287553455
139,1.3671784538482517
139.25,0.7853887043849859
139.5,-1.0847483938688054
139.75,-0.45636852122638244
140,1.3243912657339303
140.25,-0.5101881350581164
140.5,-0.6294897188311922
140.75,0.33188999319806506
141,0.4245631643098418
141.25,-0.49289453479338
141.5,-0.814425275983119
141.75,-1.068950252835215
142,-0.6978227758546022
142.25,1.8868862875689478
142.5,-1.1611122202769777
142.75,1.2512363639546225
143,0.2949829483853644
143.25,0.40414883082586994
